Current Time;Momentum Percentage;Active Momentum;Momentum Capacity;Loss Of Attitude Control;Desaturation Request;Online CMG1;Wheel Speed CMG1;Spin Motor Current CMG1;Vibration CMG1;Spin Bearing Temperature CMG1;Hall Resolver Temperature CMG1;Online CMG2;Wheel Speed CMG2;Spin Motor Current CMG2;Vibration CMG2;Spin Bearing Temperature CMG2;Hall Resolver Temperature CMG2;Online CMG3;Wheel Speed CMG3;Spin Motor Current CMG3;Vibration CMG3;Spin Bearing Temperature CMG3;Hall Resolver Temperature CMG3;Online CMG4;Wheel Speed CMG4;Spin Motor Current CMG4;Vibration CMG4;Spin Bearing Temperature CMG4;Hall Resolver Temperature CMG4
335/13:05:29;59.1;11531.6;19522.6;FALSE;ENABLED;IN USE;6601;0.43;0.011;35.2;29.3;IN USE;6601;0.69;0.004;38.9;30.5;IN USE;6600;0.52;0.001;28.4;27.0;IN USE;6601;0.87;0.009;38.4;38.1
335/13:05:35;59.1;11537.8;19523.4;FALSE;ENABLED;IN USE;6601;0.43;0.011;35.2;29.3;IN USE;6601;0.69;0.006;38.9;30.5;IN USE;6600;0.52;0.001;28.4;27.0;IN USE;6601;0.88;0.008;38.4;38.1
335/13:05:38;59.1;11541.0;19523.4;FALSE;ENABLED;IN USE;6601;0.43;0.011;35.3;29.3;IN USE;6601;0.69;0.006;38.9;30.5;IN USE;6601;0.52;0.001;28.4;27.0;IN USE;6601;0.88;0.008;38.3;38.1
335/13:05:40;59.1;11541.9;19522.6;FALSE;ENABLED;IN USE;6601;0.43;0.011;35.3;29.3;IN USE;6601;0.69;0.006;38.9;30.5;IN USE;6601;0.52;0.001;28.4;27.0;IN USE;6601;0.88;0.008;38.3;38.1
335/13:05:41;59.1;11543.1;19522.6;FALSE;ENABLED;IN USE;6601;0.43;0.011;35.3;29.3;IN USE;6601;0.69;0.006;38.9;30.5;IN USE;6601;0.52;0.001;28.4;27.0;IN USE;6601;0.88;0.008;38.3;38.1
335/13:05:42;59.1;11544.6;19522.6;FALSE;ENABLED;IN USE;6601;0.43;0.011;35.3;29.3;IN USE;6601;0.69;0.006;38.9;30.5;IN USE;6601;0.52;0.001;28.4;27.0;IN USE;6601;0.88;0.008;38.3;38.1
335/13:05:43;59.1;11545.1;19522.6;FALSE;ENABLED;IN USE;6601;0.42;0.012;35.3;29.3;IN USE;6601;0.69;0.005;38.9;30.5;IN USE;6601;0.52;0.001;28.4;27.0;IN USE;6601;0.88;0.008;38.3;38.1
335/13:05:44;59.1;11546.3;19522.6;FALSE;ENABLED;IN USE;6601;0.42;0.012;35.3;29.3;IN USE;6601;0.69;0.005;38.9;30.5;IN USE;6601;0.52;0.001;28.4;27.0;IN USE;6601;0.88;0.008;38.3;38.1
335/13:05:45;59.1;11547.4;19522.6;FALSE;ENABLED;IN USE;6601;0.42;0.012;35.3;29.3;IN USE;6601;0.69;0.005;38.9;30.5;IN USE;6601;0.52;0.001;28.4;27.0;IN USE;6601;0.86;0.008;38.3;38.1
335/13:05:46;59.1;11547.5;19522.6;FALSE;ENABLED;IN USE;6601;0.42;0.012;35.3;29.3;IN USE;6601;0.69;0.005;38.9;30.5;IN USE;6601;0.52;0.001;28.4;27.0;IN USE;6601;0.86;0.008;38.3;38.1
