Current Time;Momentum Percentage;Active Momentum;Momentum Capacity;Loss Of Attitude Control;Desaturation Request;Online CMG1;Wheel Speed CMG1;Spin Motor Current CMG1;Vibration CMG1;Spin Bearing Temperature CMG1;Hall Resolver Temperature CMG1;Online CMG2;Wheel Speed CMG2;Spin Motor Current CMG2;Vibration CMG2;Spin Bearing Temperature CMG2;Hall Resolver Temperature CMG2;Online CMG3;Wheel Speed CMG3;Spin Motor Current CMG3;Vibration CMG3;Spin Bearing Temperature CMG3;Hall Resolver Temperature CMG3;Online CMG4;Wheel Speed CMG4;Spin Motor Current CMG4;Vibration CMG4;Spin Bearing Temperature CMG4;Hall Resolver Temperature CMG4
338/13:42:23;60.2;11759.8;19523.4;FALSE;ENABLED;IN USE;6601;0.43;0.013;34.0;28.0;IN USE;6600;0.68;0.003;36.5;28.6;IN USE;6601;0.53;0.002;27.4;25.7;IN USE;6601;0.83;0.009;37.5;37.2
338/13:42:30;60.3;11764.2;19522.6;FALSE;ENABLED;IN USE;6601;0.44;0.013;34.0;28.1;IN USE;6601;0.68;0.004;36.5;28.6;IN USE;6601;0.53;0.002;27.4;25.7;IN USE;6600;0.83;0.006;37.5;37.2
338/13:42:35;60.3;11768.4;19522.6;FALSE;ENABLED;IN USE;6601;0.43;0.013;34.0;28.1;IN USE;6601;0.67;0.005;36.5;28.6;IN USE;6601;0.53;0.003;27.4;25.7;IN USE;6600;0.83;0.012;37.5;37.2
338/13:42:36;60.3;11768.1;19522.6;FALSE;ENABLED;IN USE;6601;0.43;0.013;34.0;28.1;IN USE;6601;0.67;0.005;36.5;28.6;IN USE;6601;0.53;0.003;27.4;25.7;IN USE;6600;0.83;0.012;37.5;37.2
338/13:42:37;60.3;11769.6;19522.6;FALSE;ENABLED;IN USE;6601;0.43;0.013;34.0;28.1;IN USE;6601;0.67;0.005;36.5;28.6;IN USE;6601;0.53;0.003;27.4;25.7;IN USE;6600;0.83;0.012;37.5;37.2
338/13:42:39;60.3;11770.7;19522.6;FALSE;ENABLED;IN USE;6601;0.43;0.013;34.0;28.1;IN USE;6601;0.67;0.005;36.5;28.6;IN USE;6601;0.53;0.003;27.4;25.7;IN USE;6600;0.83;0.012;37.5;37.2
338/13:42:40;60.3;11771.3;19522.6;FALSE;ENABLED;IN USE;6601;0.43;0.013;34.0;28.1;IN USE;6601;0.67;0.005;36.5;28.6;IN USE;6601;0.53;0.003;27.4;25.7;IN USE;6600;0.83;0.012;37.5;37.2
338/13:42:42;60.3;11773.1;19523.4;FALSE;ENABLED;IN USE;6601;0.43;0.013;34.0;28.1;IN USE;6601;0.67;0.005;36.5;28.6;IN USE;6601;0.53;0.003;27.4;25.7;IN USE;6600;0.83;0.012;37.5;37.2
338/13:42:43;60.3;11774.5;19523.4;FALSE;ENABLED;IN USE;6601;0.43;0.013;34.0;28.1;IN USE;6601;0.67;0.005;36.5;28.6;IN USE;6601;0.53;0.003;27.4;25.7;IN USE;6600;0.83;0.012;37.5;37.2
338/13:42:44;60.3;11775.2;19523.4;FALSE;ENABLED;IN USE;6601;0.43;0.013;34.0;28.1;IN USE;6601;0.68;0.011;36.5;28.6;IN USE;6601;0.53;0.002;27.4;25.7;IN USE;6600;0.83;0.012;37.5;37.2
338/13:42:45;60.3;11776.0;19522.6;FALSE;ENABLED;IN USE;6601;0.43;0.013;34.0;28.1;IN USE;6601;0.68;0.011;36.5;28.6;IN USE;6601;0.53;0.002;27.4;25.7;IN USE;6600;0.83;0.006;37.5;37.2
338/13:42:47;60.3;11776.8;19522.6;FALSE;ENABLED;IN USE;6601;0.43;0.013;34.0;28.1;IN USE;6601;0.68;0.011;36.5;28.6;IN USE;6601;0.53;0.002;27.4;25.7;IN USE;6600;0.83;0.006;37.5;37.2
338/13:42:48;60.3;11778.3;19522.6;FALSE;ENABLED;IN USE;6601;0.43;0.013;34.0;28.1;IN USE;6601;0.68;0.011;36.5;28.6;IN USE;6601;0.53;0.002;27.4;25.7;IN USE;6600;0.83;0.006;37.5;37.2
338/13:42:50;60.3;11779.7;19522.6;FALSE;ENABLED;IN USE;6601;0.43;0.013;34.0;28.1;IN USE;6601;0.68;0.011;36.5;28.6;IN USE;6601;0.53;0.002;27.4;25.7;IN USE;6600;0.83;0.006;37.5;37.2
338/13:42:51;60.3;11780.4;19522.6;FALSE;ENABLED;IN USE;6600;0.43;0.013;34.0;28.1;IN USE;6601;0.68;0.011;36.5;28.6;IN USE;6601;0.53;0.002;27.4;25.7;IN USE;6601;0.83;0.006;37.5;37.2
338/13:42:52;60.3;11780.5;19522.6;FALSE;ENABLED;IN USE;6600;0.43;0.013;34.0;28.1;IN USE;6601;0.68;0.011;36.5;28.6;IN USE;6601;0.53;0.002;27.4;25.7;IN USE;6601;0.83;0.006;37.5;37.2
338/13:42:53;60.3;11781.9;19522.6;FALSE;ENABLED;IN USE;6600;0.43;0.013;34.0;28.1;IN USE;6601;0.68;0.011;36.5;28.6;IN USE;6601;0.53;0.002;27.4;25.7;IN USE;6601;0.83;0.006;37.5;37.2
338/13:42:56;60.4;11784.2;19521.9;FALSE;ENABLED;IN USE;6600;0.43;0.013;34.0;28.1;IN USE;6601;0.67;0.005;36.5;28.6;IN USE;6601;0.53;0.002;27.4;25.7;IN USE;6601;0.82;0.005;37.5;37.2
338/13:42:57;60.4;11785.4;19521.9;FALSE;ENABLED;IN USE;6600;0.43;0.013;34.0;28.1;IN USE;6601;0.67;0.005;36.5;28.6;IN USE;6601;0.53;0.002;27.4;25.7;IN USE;6601;0.82;0.005;37.5;37.2
